
Period,Interaction with the topic 'genetically modified crops" in the United-States.
2007-01,21
2007-02,26
2007-03,27
2007-04,28
2007-05,22
2007-06,15
2007-07,13
2007-08,11
2007-09,14
2007-10,21
2007-11,24
2007-12,21
2008-01,20
2008-02,25
2008-03,30
2008-04,30
2008-05,24
2008-06,12
2008-07,12
2008-08,11
2008-09,16
2008-10,22
2008-11,25
2008-12,21
2009-01,19
2009-02,27
2009-03,29
2009-04,28
2009-05,25
2009-06,17
2009-07,15
2009-08,14
2009-09,18
2009-10,26
2009-11,26
2009-12,20
2010-01,25
2010-02,30
2010-03,33
2010-04,34
2010-05,30
2010-06,22
2010-07,14
2010-08,14
2010-09,24
2010-10,27
2010-11,29
2010-12,24
2011-01,25
2011-02,29
2011-03,31
2011-04,32
2011-05,24
2011-06,18
2011-07,17
2011-08,16
2011-09,18
2011-10,28
2011-11,26
2011-12,23
2012-01,27
2012-02,38
2012-03,39
2012-04,39
2012-05,35
2012-06,28
2012-07,24
2012-08,30
2012-09,48
2012-10,61
2012-11,69
2012-12,41
2013-01,46
2013-02,59
2013-03,79
2013-04,90
2013-05,100
2013-06,92
2013-07,64
2013-08,60
2013-09,63
2013-10,74
2013-11,77
2013-12,57
2014-01,79
2014-02,80
2014-03,82
2014-04,91
2014-05,95
2014-06,65
2014-07,53
2014-08,48
2014-09,54
2014-10,94
2014-11,98
2014-12,59
2015-01,67
2015-02,76
2015-03,83
2015-04,93
2015-05,83
2015-06,54
2015-07,55
2015-08,50
2015-09,55
2015-10,58
2015-11,69
2015-12,56
2016-01,60
2016-02,76
2016-03,84
2016-04,77
2016-05,66
2016-06,43
2016-07,47
2016-08,43
2016-09,55
2016-10,52
2016-11,57
2016-12,46
2017-01,56
2017-02,63
2017-03,62
2017-04,62
2017-05,58
2017-06,38
2017-07,39
2017-08,36
2017-09,36
2017-10,42
2017-11,46
2017-12,37
2018-01,43
2018-02,52
2018-03,52
2018-04,54
2018-05,48
2018-06,33
2018-07,30
2018-08,27
2018-09,29
2018-10,37
2018-11,39
2018-12,33
2019-01,37
2019-02,46
2019-03,47
2019-04,47
2019-05,41
2019-06,29
2019-07,24
2019-08,24
2019-09,28
2019-10,32
2019-11,35
2019-12,30
