Year,Period,State,Data Item,Value,,
2019,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8300000,,
2019,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,850000,,
2019,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26200000,,
2019,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,14000000,,
2019,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24300000,,
2019,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31800000,,
2019,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,380000,,
2019,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,530000,,
2019,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9700000,,
2019,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,10200000,,
2019,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2019,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11500000,,
2019,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2019,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,14900000,,
2019,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2019,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45700000,,
2019,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,12900000,,
2019,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,8000000,,
2019,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1300000,,
2019,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2019,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,500000,,
2019,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2019,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25500000,,
2019,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10400000,,
2019,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27600000,,
2019,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58000000,,
2019,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,44900000,,
2019,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6100000,,
2019,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,430000,,
2019,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,750000,,
2019,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,40000000,,
2019,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,6900000,,
2019,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8400000,,
2019,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2019,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,13600000,,
2019,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34400000,,
2019,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,15800000,,
2019,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2019,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7300000,,
2019,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2019,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4800000,,
2019,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43200000,,
2019,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10800000,,
2019,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,126500000,,
2019,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10700000,,
2019,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2019,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7800000,,
2019,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14600000,,
