Year,ST,STATE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,JOBS_1000
2005,AL,Alabama,"Farm, ranch, and other agricultural managers",50,24,49100,23,46990,
2005,AL,Alabama,"Agricultural workers, all other",110,12,25910,10,21060,
2005,AZ,Arizona,"Agricultural workers, all other",**,12,25340,11,23000,
2005,AR,Arkansas,"Farm, ranch, and other agricultural managers",50,25,52940,24,50800,
2005,AR,Arkansas,"Agricultural workers, all other",250,8,17360,8,16350,
2005,CA,California,"Farm, ranch, and other agricultural managers",630,29,59450,25,52380,
2005,CA,California,"Agricultural workers, all other",2250,12,24640,12,24030,
2005,CO,Colorado,"Farm, ranch, and other agricultural managers",70,29,59490,23,47780,
2005,CO,Colorado,"Agricultural workers, all other",100,11,22320,9,19140,
2005,CT,Connecticut,"Farm, ranch, and other agricultural managers",50,37,76620,28,58130,
2005,CT,Connecticut,"Agricultural workers, all other",100,12,24540,9,19530,
2005,FL,Florida,"Farm, ranch, and other agricultural managers",130,41,85580,36,75080,
2005,FL,Florida,"Agricultural workers, all other",100,10,19970,8,16490,
2005,GA,Georgia,"Farm, ranch, and other agricultural managers",50,26,54810,28,57780,
2005,GA,Georgia,"Agricultural workers, all other",320,9,17920,8,16730,
2005,ID,Idaho,"Farm, ranch, and other agricultural managers",160,20,42010,18,36950,
2005,ID,Idaho,"Agricultural workers, all other",520,10,21370,10,20450,
2005,IL,Illinois,"Farm, ranch, and other agricultural managers",**,24,49960,26,53770,
2005,IL,Illinois,"Agricultural workers, all other",250,13,27860,12,24710,
2005,IN,Indiana,"Farm, ranch, and other agricultural managers",50,*,*,*,*,
2005,IN,Indiana,"Agricultural workers, all other",**,18,37360,17,35310,
2005,IA,Iowa,"Farm, ranch, and other agricultural managers",240,29,61200,25,51460,
2005,IA,Iowa,"Agricultural workers, all other",310,*,*,*,*,
2005,KS,Kansas,"Farm, ranch, and other agricultural managers",80,27,55910,29,60160,
2005,KS,Kansas,"Agricultural workers, all other",60,10,20920,8,17460,
2005,KY,Kentucky,"Farm, ranch, and other agricultural managers",70,26,53260,21,44600,
2005,LA,Louisiana,"Farm, ranch, and other agricultural managers",60,25,52180,24,50930,
2005,LA,Louisiana,"Agricultural workers, all other",270,12,25190,12,23980,
2005,MD,Maryland,"Farm, ranch, and other agricultural managers",50,31,63460,29,60910,
2005,MD,Maryland,"Agricultural workers, all other",70,16,33270,13,27840,
2005,MA,Massachusetts,"Farm, ranch, and other agricultural managers",**,19,38610,18,37130,
2005,MI,Michigan,"Agricultural workers, all other",290,12,24840,10,21220,
2005,MN,Minnesota,"Agricultural workers, all other",330,11,22500,10,20940,
2005,MS,Mississippi,"Farm, ranch, and other agricultural managers",30,20,40910,20,41260,
2005,MS,Mississippi,"Agricultural workers, all other",80,9,17820,7,14050,
2005,MO,Missouri,"Farm, ranch, and other agricultural managers",50,30,62360,26,54610,
2005,MT,Montana,"Farm, ranch, and other agricultural managers",30,18,37960,13,27590,
2005,MT,Montana,"Agricultural workers, all other",**,9,17990,8,16390,
2005,NE,Nebraska,"Farm, ranch, and other agricultural managers",**,21,43030,20,41230,
2005,NE,Nebraska,"Agricultural workers, all other",150,8,17480,8,17050,
2005,NV,Nevada,"Agricultural workers, all other",60,19,40010,18,38180,
2005,NJ,New Jersey,"Farm, ranch, and other agricultural managers",50,40,82200,32,65920,
2005,NJ,New Jersey,"Agricultural workers, all other",40,11,23590,11,22890,
2005,NM,New Mexico,"Farm, ranch, and other agricultural managers",30,20,41190,19,39710,
2005,NM,New Mexico,"Agricultural workers, all other",50,8,17330,9,18410,
2005,NY,New York,"Farm, ranch, and other agricultural managers",60,38,79270,33,68020,
2005,NY,New York,"Agricultural workers, all other",100,16,32860,16,34180,
2005,NC,North Carolina,"Farm, ranch, and other agricultural managers",60,20,41400,19,40150,
2005,NC,North Carolina,"Agricultural workers, all other",160,14,29380,15,30960,
2005,ND,North Dakota,"Agricultural workers, all other",**,10,20710,10,20730,
2005,OH,Ohio,"Farm, ranch, and other agricultural managers",30,28,57290,22,45550,
2005,OH,Ohio,"Agricultural workers, all other",60,13,26600,12,24650,
2005,OK,Oklahoma,"Farm, ranch, and other agricultural managers",120,24,50020,20,42610,
2005,OK,Oklahoma,"Agricultural workers, all other",80,9,18650,8,16810,
2005,OR,Oregon,"Farm, ranch, and other agricultural managers",**,29,60510,27,55880,
2005,OR,Oregon,"Agricultural workers, all other",130,13,26360,13,27010,
2005,PA,Pennsylvania,"Agricultural workers, all other",50,12,24310,10,21310,
