Year,State,Population
2005,United States,295516599
2005,Alabama,4569805
2005,Alaska,666946
2005,Arizona,5839077
2005,Arkansas,2781097
2005,California,35827943
2005,Colorado,4631888
2005,Connecticut,3506956
2005,Delaware,845150
2005,District of Columbia,567136
2005,Florida,17842038
2005,Georgia,8925922
2005,Hawaii,1292729
2005,Idaho,1428241
2005,Illinois,12609903
2005,Indiana,6278616
2005,Iowa,2964454
2005,Kansas,2745299
2005,Kentucky,4182742
2005,Louisiana,4576628
2005,Maine,1318787
2005,Maryland,5592379
2005,Massachusetts,6403290
2005,Michigan,10051137
2005,Minnesota,5119598
2005,Mississippi,2905943
2005,Missouri,5790300
2005,Montana,940102
2005,Nebraska,1761497
2005,Nevada,2432143
2005,New Hampshire,1298492
2005,New Jersey,8651974
2005,New Mexico,1932274
2005,New York,19132610
2005,North Carolina,8705407
2005,North Dakota,646089
2005,Ohio,11463320
2005,Oklahoma,3548597
2005,Oregon,3613202
2005,Pennsylvania,12449990
2005,Rhode Island,1067916
2005,South Carolina,4270150
2005,South Dakota,775493
2005,Tennessee,5991057
2005,Texas,22778123
2005,Utah,2457719
2005,Vermont,621215
2005,Virginia,7577105
2005,Washington,6257305
2005,West Virginia,1820492
2005,Wisconsin,5546166
2005,Wyoming,514157
2006,United States,298379912
2006,Alabama,4628981
2006,Alaska,675302
2006,Arizona,6029141
2006,Arkansas,2821761
2006,California,36021202
2006,Colorado,4720423
2006,Connecticut,3517460
2006,Delaware,859268
2006,District of Columbia,570681
2006,Florida,18166990
2006,Georgia,9155813
2006,Hawaii,1309731
2006,Idaho,1468669
2006,Illinois,12643955
2006,Indiana,6332669
2006,Iowa,2982644
2006,Kansas,2762931
2006,Kentucky,4219239
2006,Louisiana,4302665
2006,Maine,1323619
2006,Maryland,5627367
2006,Massachusetts,6410084
2006,Michigan,10036081
2006,Minnesota,5163555
2006,Mississippi,2904978
2006,Missouri,5842704
2006,Montana,952692
2006,Nebraska,1772693
2006,Nevada,2522658
2006,New Hampshire,1308389
2006,New Jersey,8661679
2006,New Mexico,1962137
2006,New York,19104631
2006,North Carolina,8917270
