Year,State,Agri GDP
2005,United States,196126.00
2005,Alabama,3837.00
2005,Alaska,417.00
2005,Arizona,3019.60
2005,Arkansas,4282.60
2005,California,37673.30
2005,Colorado,3253.30
2005,Connecticut,565.50
2005,Delaware,650.00
2005,District of Columbia,0.70
2005,Florida,8987.10
2005,Georgia,5298.20
2005,Hawaii,655.70
2005,Idaho,3415.40
2005,Illinois,3923.40
2005,Indiana,3334.20
2005,Iowa,7813.30
2005,Kansas,5063.70
2005,Kentucky,3410.90
2005,Louisiana,1898.20
2005,Maine,1027.10
2005,Maryland,1211.40
2005,Massachusetts,1054.60
2005,Michigan,3481.60
2005,Minnesota,6597.40
2005,Mississippi,3305.00
2005,Missouri,3948.80
2005,Montana,1841.10
2005,Nebraska,6412.10
2005,Nevada,382.80
2005,New Hampshire,225.10
2005,New Jersey,1052.60
2005,New Mexico,1910.10
2005,New York,3218.10
2005,North Carolina,6206.80
2005,North Dakota,2300.00
2005,Ohio,3570.80
2005,Oklahoma,3637.40
2005,Oregon,4863.90
2005,Pennsylvania,4659.30
2005,Rhode Island,145.40
2005,South Carolina,1672.40
2005,South Dakota,3017.30
2005,Tennessee,2591.70
2005,Texas,12684.80
2005,Utah,865.40
2005,Vermont,560.10
2005,Virginia,2282.80
2005,Washington,7025.10
2005,West Virginia,394.80
2005,Wisconsin,5300.00
2005,Wyoming,652.60
2005,New England,3551.20
2005,Mideast,10791.60
2005,Great Lakes,19609.10
2005,Plains,35168.00
2005,Southeast,44156.20
2005,Southwest,21250.50
2005,Rocky Mountain,10028.40
2005,Far West,51015.80
2006,United States,199349.00
2006,Alabama,3185.20
2006,Alaska,433.60
2006,Arizona,2856.50
2006,Arkansas,4254.10
2006,California,37555.70
2006,Colorado,3196.00
2006,Connecticut,567.50
2006,Delaware,543.20
2006,District of Columbia,0.80
2006,Florida,9590.70
2006,Georgia,4776.90
2006,Hawaii,711.30
2006,Idaho,3675.80
2006,Illinois,5885.30
2006,Indiana,3949.50
2006,Iowa,8183.80
2006,Kansas,4284.10
2006,Kentucky,3838.20
2006,Louisiana,2159.90
2006,Maine,1106.00
2006,Maryland,1245.60
2006,Massachusetts,1254.90
2006,Michigan,4161.00
2006,Minnesota,7448.10
2006,Mississippi,2409.70
2006,Missouri,4444.40
2006,Montana,1483.20
2006,Nebraska,5550.30
2006,Nevada,420.90
2006,New Hampshire,241.90
2006,New Jersey,1238.30
2006,New Mexico,1666.10
2006,New York,3321.70
2006,North Carolina,6294.10
2006,North Dakota,2582.10
2006,Ohio,3947.80
2006,Oklahoma,3012.50
2006,Oregon,5556.40
2006,Pennsylvania,4755.10
2006,Rhode Island,159.70
2006,South Carolina,1707.20
2006,South Dakota,2399.50
2006,Tennessee,3201.30
2006,Texas,11681.30
2006,Utah,756.10
2006,Vermont,493.70
2006,Virginia,2126.60
2006,Washington,7875.20
2006,West Virginia,379.70
2006,Wisconsin,5501.00
2006,Wyoming,681.60
2006,New England,3821.90
2006,Mideast,11110.30
2006,Great Lakes,23433.20
2006,Plains,34920.50
2006,Southeast,43899.20
2006,Southwest,19225.00
2006,Rocky Mountain,9796.10
2006,Far West,52589.40
2007,United States,176569.00
2007,Alabama,2307.60
2007,Alaska,368.70
2007,Arizona,2616.40
2007,Arkansas,3626.00
2007,California,34372.30
2007,Colorado,3013.70
2007,Connecticut,464.50
2007,Delaware,416.70
2007,District of Columbia,0.30
2007,Florida,7642.60
2007,Georgia,4191.90
2007,Hawaii,509.30
2007,Idaho,3562.40
2007,Illinois,6170.60
2007,Indiana,3848.40
2007,Iowa,8083.40
2007,Kansas,4163.80
2007,Kentucky,2560.10
2007,Louisiana,1850.60
2007,Maine,897.40
2007,Maryland,954.50
2007,Massachusetts,1041.80
2007,Michigan,3307.10
2007,Minnesota,5910.40
2007,Mississippi,2301.30
2007,Missouri,3615.80
2007,Montana,1547.00
2007,Nebraska,6071.10
2007,Nevada,270.30
2007,New Hampshire,191.60
2007,New Jersey,973.10
2007,New Mexico,1608.70
2007,New York,3039.20
2007,North Carolina,4701.30
2007,North Dakota,3104.10
2007,Ohio,3403.60
2007,Oklahoma,2312.60
2007,Oregon,4230.10
2007,Pennsylvania,3904.00
2007,Rhode Island,117.30
2007,South Carolina,1207.30
2007,South Dakota,3283.60
2007,Tennessee,2209.00
2007,Texas,10025.70
2007,Utah,658.00
2007,Vermont,504.80
2007,Virginia,1649.40
2007,Washington,7359.20
2007,West Virginia,271.60
2007,Wisconsin,5345.50
2007,Wyoming,437.00
2007,New England,3207.90
2007,Mideast,9289.60
2007,Great Lakes,22055.90
2007,Plains,34242.40
2007,Southeast,34510.80
2007,Southwest,16575.40
2007,Rocky Mountain,9221.30
2007,Far West,47118.80
2008,United States,180295.00
2008,Alabama,2251.50
2008,Alaska,415.60
2008,Arizona,2007.30
2008,Arkansas,3577.50
2008,California,31667.90
2008,Colorado,2678.10
2008,Connecticut,473.60
2008,Delaware,411.30
2008,District of Columbia,0.10
2008,Florida,6945.10
2008,Georgia,4526.40
2008,Hawaii,528.50
2008,Idaho,3652.60
2008,Illinois,8214.90
2008,Indiana,4938.00
2008,Iowa,9617.70
2008,Kansas,4866.70
2008,Kentucky,1875.30
2008,Louisiana,1711.20
2008,Maine,887.60
2008,Maryland,1056.90
2008,Massachusetts,1056.50
2008,Michigan,3426.70
2008,Minnesota,7978.10
2008,Mississippi,2089.20
2008,Missouri,4502.00
2008,Montana,1721.60
2008,Nebraska,6677.90
2008,Nevada,357.20
2008,New Hampshire,215.50
2008,New Jersey,887.30
2008,New Mexico,1467.00
2008,New York,3355.10
2008,North Carolina,4765.70
2008,North Dakota,4025.20
2008,Ohio,3409.00
2008,Oklahoma,2544.70
2008,Oregon,4214.40
2008,Pennsylvania,3751.20
2008,Rhode Island,131.60
2008,South Carolina,1340.30
2008,South Dakota,4098.70
2008,Tennessee,2489.20
2008,Texas,7798.60
2008,Utah,660.90
2008,Vermont,528.80
2008,Virginia,1725.40
2008,Washington,7010.30
2008,West Virginia,309.60
2008,Wisconsin,4678.20
2008,Wyoming,553.90
2008,New England,3283.30
2008,Mideast,9460.90
2008,Great Lakes,24646.60
2008,Plains,41781.10
2008,Southeast,33590.10
2008,Southwest,13825.00
2008,Rocky Mountain,9269.70
2008,Far West,44213.70
2009,United States,199976.00
2009,Alabama,2808.80
2009,Alaska,416.60
2009,Arizona,1979.30
2009,Arkansas,3408.60
2009,California,37454.90
2009,Colorado,3227.60
2009,Connecticut,552.40
2009,Delaware,640.70
2009,District of Columbia,0.10
2009,Florida,8172.80
2009,Georgia,5238.00
2009,Hawaii,720.60
2009,Idaho,3416.60
2009,Illinois,7816.70
2009,Indiana,4963.40
2009,Iowa,9764.60
2009,Kansas,6356.70
2009,Kentucky,2885.80
2009,Louisiana,2226.40
2009,Maine,951.20
2009,Maryland,1319.20
2009,Massachusetts,1208.30
2009,Michigan,3523.60
2009,Minnesota,7279.60
2009,Mississippi,2484.50
2009,Missouri,5110.60
2009,Montana,1914.50
2009,Nebraska,8075.10
2009,Nevada,418.30
2009,New Hampshire,213.70
2009,New Jersey,1116.30
2009,New Mexico,1364.40
2009,New York,3200.10
2009,North Carolina,6012.90
2009,North Dakota,4213.50
2009,Ohio,4816.20
2009,Oklahoma,2130.70
2009,Oregon,4421.90
2009,Pennsylvania,3915.80
2009,Rhode Island,139.80
2009,South Carolina,1652.20
2009,South Dakota,4745.50
2009,Tennessee,2351.10
2009,Texas,8514.80
2009,Utah,586.40
2009,Vermont,462.50
2009,Virginia,2077.10
2009,Washington,7902.30
2009,West Virginia,326.80
2009,Wisconsin,4440.70
2009,Wyoming,693.30
2009,New England,3526.60
2009,Mideast,10193.80
2009,Great Lakes,25546.20
2009,Plains,45562.70
2009,Southeast,39634.10
2009,Southwest,14005.80
2009,Rocky Mountain,9838.80
2009,Far West,51319.80
2010,United States,193856.00
2010,Alabama,2447.20
2010,Alaska,471.10
2010,Arizona,2160.30
2010,Arkansas,2753.60
2010,California,36879.50
2010,Colorado,3096.40
2010,Connecticut,502.80
2010,Delaware,520.30
2010,District of Columbia,0.30
2010,Florida,8042.40
2010,Georgia,4030.50
2010,Hawaii,648.40
2010,Idaho,3538.00
2010,Illinois,6664.90
2010,Indiana,4425.80
2010,Iowa,8894.80
2010,Kansas,6256.80
2010,Kentucky,2063.30
2010,Louisiana,2277.00
2010,Maine,972.40
2010,Maryland,1087.40
2010,Massachusetts,1264.70
2010,Michigan,3835.90
2010,Minnesota,7506.40
2010,Mississippi,2603.20
2010,Missouri,4299.50
2010,Montana,1942.20
2010,Nebraska,7750.40
2010,Nevada,388.10
2010,New Hampshire,204.90
2010,New Jersey,962.90
2010,New Mexico,1778.40
2010,New York,3558.50
2010,North Carolina,5460.60
2010,North Dakota,3806.80
2010,Ohio,4061.70
2010,Oklahoma,2856.80
2010,Oregon,3812.70
2010,Pennsylvania,3951.00
2010,Rhode Island,132.30
2010,South Carolina,1520.80
2010,South Dakota,3909.20
2010,Tennessee,1619.30
2010,Texas,12004.30
2010,Utah,769.50
2010,Vermont,511.80
2010,Virginia,1803.80
2010,Washington,7337.10
2010,West Virginia,297.20
2010,Wisconsin,5126.30
2010,Wyoming,701.60
2010,New England,3593.10
2010,Mideast,10079.30
2010,Great Lakes,24117.60
2010,Plains,42434.70
2010,Southeast,34944.80
2010,Southwest,18805.00
2010,Rocky Mountain,10048.00
2011,Far West,49519.70
2011,United States,186395.00
2011,Alabama,1632.60
2011,Alaska,543.10
2011,Arizona,2482.20
2011,Arkansas,2329.40
2011,California,33687.50
