Year,State,Agri GDP
2005,United States,196126
2005,Alabama,3837
2005,Alaska,417
2005,Arizona,3019.6
2005,Arkansas,4282.6
2005,California,37673.3
2005,Colorado,3253.3
2005,Connecticut,565.5
2005,Delaware,650
2005,District of Columbia,0.7
2005,Florida,8987.1
2005,Georgia,5298.2
2005,Hawaii,655.7
2005,Idaho,3415.4
2005,Illinois,3923.4
2005,Indiana,3334.2
2005,Iowa,7813.3
2005,Kansas,5063.7
2005,Kentucky,3410.9
2005,Louisiana,1898.2
2005,Maine,1027.1
2005,Maryland,1211.4
2005,Massachusetts,1054.6
2005,Michigan,3481.6
2005,Minnesota,6597.4
2005,Mississippi,3305
2005,Missouri,3948.8
2005,Montana,1841.1
2005,Nebraska,6412.1
2005,Nevada,382.8
2005,New Hampshire,225.1
2005,New Jersey,1052.6
2005,New Mexico,1910.1
2005,New York,3218.1
2005,North Carolina,6206.8
2005,North Dakota,2300
2005,Ohio,3570.8
2005,Oklahoma,3637.4
2005,Oregon,4863.9
2005,Pennsylvania,4659.3
2005,Rhode Island,145.4
2005,South Carolina,1672.4
2005,South Dakota,3017.3
2005,Tennessee,2591.7
2005,Texas,12684.8
2005,Utah,865.4
2005,Vermont,560.1
2005,Virginia,2282.8
2005,Washington,7025.1
2005,West Virginia,394.8
2005,Wisconsin,5300
2005,Wyoming,652.6
2005,New England,3551.2
2005,Mideast,10791.6
2005,Great Lakes,19609.1
2005,Plains,35168
2005,Southeast,44156.2
2005,Southwest,21250.5
2005,Rocky Mountain,10028.4
2005,Far West,51015.8
2006,United States,199349
2006,Alabama,3185.2
2006,Alaska,433.6
2006,Arizona,2856.5
2006,Arkansas,4254.1
2006,California,37555.7
2006,Colorado,3196
2006,Connecticut,567.5
2006,Delaware,543.2
2006,District of Columbia,0.8
2006,Florida,9590.7
2006,Georgia,4776.9
2006,Hawaii,711.3
2006,Idaho,3675.8
2006,Illinois,5885.3
2006,Indiana,3949.5
2006,Iowa,8183.8
2006,Kansas,4284.1
2006,Kentucky,3838.2
2006,Louisiana,2159.9
2006,Maine,1106
2006,Maryland,1245.6
2006,Massachusetts,1254.9
2006,Michigan,4161
2006,Minnesota,7448.1
2006,Mississippi,2409.7
2006,Missouri,4444.4
2006,Montana,1483.2
2006,Nebraska,5550.3
2006,Nevada,420.9
2006,New Hampshire,241.9
2006,New Jersey,1238.3
2006,New Mexico,1666.1
2006,New York,3321.7
2006,North Carolina,6294.1
2006,North Dakota,2582.1
2006,Ohio,3947.8
2006,Oklahoma,3012.5
2006,Oregon,5556.4
2006,Pennsylvania,4755.1
2006,Rhode Island,159.7
2006,South Carolina,1707.2
2006,South Dakota,2399.5
2006,Tennessee,3201.3
2006,Texas,11681.3
2006,Utah,756.1
2006,Vermont,493.7
2006,Virginia,2126.6
2006,Washington,7875.2
2006,West Virginia,379.7
2006,Wisconsin,5501
2006,Wyoming,681.6
2006,New England,3821.9
2006,Mideast,11110.3
2006,Great Lakes,23433.2
2006,Plains,34920.5
2006,Southeast,43899.2
2006,Southwest,19225
2006,Rocky Mountain,9796.1
2006,Far West,52589.4
2007,United States,176569
2007,Alabama,2307.6
2007,Alaska,368.7
2007,Arizona,2616.4
2007,Arkansas,3626
2007,California,34372.3
2007,Colorado,3013.7
2007,Connecticut,464.5
2007,Delaware,416.7
2007,District of Columbia,0.3
2007,Florida,7642.6
2007,Georgia,4191.9
2007,Hawaii,509.3
2007,Idaho,3562.4
2007,Illinois,6170.6
2007,Indiana,3848.4
2007,Iowa,8083.4
2007,Kansas,4163.8
2007,Kentucky,2560.1
2007,Louisiana,1850.6
2007,Maine,897.4
2007,Maryland,954.5
2007,Massachusetts,1041.8
2007,Michigan,3307.1
2007,Minnesota,5910.4
2007,Mississippi,2301.3
2007,Missouri,3615.8
2007,Montana,1547
2007,Nebraska,6071.1
2007,Nevada,270.3
2007,New Hampshire,191.6
2007,New Jersey,973.1
2007,New Mexico,1608.7
2007,New York,3039.2
2007,North Carolina,4701.3
2007,North Dakota,3104.1
2007,Ohio,3403.6
2007,Oklahoma,2312.6
2007,Oregon,4230.1
2007,Pennsylvania,3904
2007,Rhode Island,117.3
2007,South Carolina,1207.3
2007,South Dakota,3283.6
2007,Tennessee,2209
2007,Texas,10025.7
2007,Utah,658
2007,Vermont,504.8
2007,Virginia,1649.4
2007,Washington,7359.2
2007,West Virginia,271.6
2007,Wisconsin,5345.5
2007,Wyoming,437
2007,New England,3207.9
2007,Mideast,9289.6
2007,Great Lakes,22055.9
2007,Plains,34242.4
2007,Southeast,34510.8
2007,Southwest,16575.4
2007,Rocky Mountain,9221.3
2007,Far West,47118.8
2008,United States,180295
2008,Alabama,2251.5
2008,Alaska,415.6
2008,Arizona,2007.3
2008,Arkansas,3577.5
2008,California,31667.9
2008,Colorado,2678.1
2008,Connecticut,473.6
2008,Delaware,411.3
2008,District of Columbia,0.1
2008,Florida,6945.1
2008,Georgia,4526.4
2008,Hawaii,528.5
2008,Idaho,3652.6
2008,Illinois,8214.9
2008,Indiana,4938
2008,Iowa,9617.7
2008,Kansas,4866.7
2008,Kentucky,1875.3
2008,Louisiana,1711.2
2008,Maine,887.6
2008,Maryland,1056.9
2008,Massachusetts,1056.5
2008,Michigan,3426.7
2008,Minnesota,7978.1
2008,Mississippi,2089.2
2008,Missouri,4502
2008,Montana,1721.6
2008,Nebraska,6677.9
2008,Nevada,357.2
2008,New Hampshire,215.5
2008,New Jersey,887.3
2008,New Mexico,1467
2008,New York,3355.1
2008,North Carolina,4765.7
2008,North Dakota,4025.2
2008,Ohio,3409
2008,Oklahoma,2544.7
2008,Oregon,4214.4
2008,Pennsylvania,3751.2
2008,Rhode Island,131.6
2008,South Carolina,1340.3
2008,South Dakota,4098.7
2008,Tennessee,2489.2
2008,Texas,7798.6
2008,Utah,660.9
2008,Vermont,528.8
2008,Virginia,1725.4
2008,Washington,7010.3
2008,West Virginia,309.6
2008,Wisconsin,4678.2
2008,Wyoming,553.9
2008,New England,3283.3
2008,Mideast,9460.9
2008,Great Lakes,24646.6
2008,Plains,41781.1
2008,Southeast,33590.1
2008,Southwest,13825
2008,Rocky Mountain,9269.7
2008,Far West,44213.7
2009,United States,199976
2009,Alabama,2808.8
2009,Alaska,416.6
2009,Arizona,1979.3
2009,Arkansas,3408.6
2009,California,37454.9
2009,Colorado,3227.6
2009,Connecticut,552.4
2009,Delaware,640.7
2009,District of Columbia,0.1
2009,Florida,8172.8
2009,Georgia,5238
2009,Hawaii,720.6
2009,Idaho,3416.6
2009,Illinois,7816.7
2009,Indiana,4963.4
2009,Iowa,9764.6
2009,Kansas,6356.7
2009,Kentucky,2885.8
2009,Louisiana,2226.4
2009,Maine,951.2
2009,Maryland,1319.2
2009,Massachusetts,1208.3
2009,Michigan,3523.6
2009,Minnesota,7279.6
2009,Mississippi,2484.5
2009,Missouri,5110.6
2009,Montana,1914.5
2009,Nebraska,8075.1
2009,Nevada,418.3
2009,New Hampshire,213.7
2009,New Jersey,1116.3
2009,New Mexico,1364.4
2009,New York,3200.1
2009,North Carolina,6012.9
2009,North Dakota,4213.5
2009,Ohio,4816.2
2009,Oklahoma,2130.7
2009,Oregon,4421.9
2009,Pennsylvania,3915.8
2009,Rhode Island,139.8
2009,South Carolina,1652.2
2009,South Dakota,4745.5
2009,Tennessee,2351.1
2009,Texas,8514.8
2009,Utah,586.4
2009,Vermont,462.5
2009,Virginia,2077.1
2009,Washington,7902.3
2009,West Virginia,326.8
