"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Farms (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",118101.0,113962.0,116825.0,138244.0,128096.0,133545.0,145088.0,159782.0,168782.0,165516.0,144582.0,148473.0,170705.0,165055.0,157496.0,148939.0,179819.0,181612.0,195500.0,207311.0,201504.0,211489.0,208544.0
"01000","Alabama",1829.6,2070.0,2454.9,2397.1,2616.2,2166.6,2796.8,3238.5,3429.1,2611.8,1747.1,1727.3,2363.7,1950.0,1098.9,1260.6,2512.3,2097.3,2743.2,2262.3,2595.4,2766.2,1924.5
"02000","Alaska",33.9,35.8,41.9,53.5,46.0,49.9,30.7,27.2,32.7,30.8,20.7,17.8,27.2,21.9,16.1,20.3,18.7,25.4,29.8,38.1,36.2,36.9,38.2
"04000","Arizona",1565.0,1810.0,1927.4,2207.9,1843.4,2158.8,1907.0,2363.4,2533.1,2187.2,1954.0,1398.9,1391.8,1622.7,1939.7,1372.4,1793.3,1704.6,2314.0,3106.9,2788.4,2972.3,3366.8
"05000","Arkansas",3184.9,2822.9,3068.6,3058.0,3133.8,2731.6,3523.6,4438.9,3829.5,3737.8,3145.7,3074.4,2917.7,2189.9,1787.9,2015.4,3241.7,3026.5,2971.0,2892.0,3438.1,3474.1,1978.1
"06000","California",19073.8,18394.7,21609.7,24852.1,21962.4,25278.9,25197.3,26170.5,31346.5,29137.9,25669.3,22658.3,29316.8,28964.3,25157.1,25197.4,27634.5,33375.9,35873.7,40299.1,39218.5,39100.6,39940.0
"08000","Colorado",1830.1,2019.1,2272.7,2421.3,2745.7,2436.6,2222.1,2499.6,3055.4,2947.8,2778.4,2432.9,2952.2,2821.6,2602.9,2244.8,2274.4,2571.9,3219.9,3558.4,2821.4,3181.0,3909.4
"09000","Connecticut",315.9,364.7,425.7,556.1,459.7,455.3,427.1,422.8,492.3,476.6,389.4,400.1,489.4,444.9,337.6,358.6,368.5,313.1,400.0,398.7,417.2,437.2,527.7
"10000","Delaware",233.1,295.9,315.8,374.1,445.5,275.7,394.1,502.4,631.7,521.8,399.3,392.0,625.3,498.6,354.2,386.4,536.4,659.1,597.0,621.7,817.0,879.8,715.5
"11000","District of Columbia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"12000","Florida",5260.0,6297.3,6599.9,7660.3,6569.2,7052.2,6347.6,5602.3,7203.0,7469.0,5536.1,4904.9,6152.4,6237.4,4493.2,4778.4,4368.1,4821.2,6370.2,6495.9,6468.0,6364.5,6394.1
"13000","Georgia",3451.2,3554.2,3892.6,4293.6,4259.8,3349.5,3971.7,4035.5,4750.4,3833.0,3304.8,3683.2,4414.8,3168.7,2726.8,3298.1,3381.6,3066.0,4530.1,4310.1,4759.2,4767.5,3986.9
"15000","Hawaii",377.7,405.6,493.9,546.0,495.1,583.6,558.0,494.0,601.7,644.6,451.7,471.3,663.7,593.9,512.0,466.7,435.4,427.9,533.7,535.7,546.7,468.0,490.1
"16000","Idaho",1769.7,2028.5,2318.7,2643.0,2593.6,2889.8,2283.6,2869.3,2944.4,3122.2,3053.6,3157.1,2966.6,3092.4,3095.4,2998.8,3235.2,3760.1,4097.9,4684.2,3881.3,4548.8,5491.7
