"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Agriculture, forestry, fishing and hunting (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",140286.0,136880.0,141020.0,161799.0,156155.0,161617.0,174162.0,188092.0,196126.0,199349.0,176569.0,180295.0,199976.0,193856.0,186395.0,179573.0,209388.0,211758.0,227217.0,238834.0,233675.0,243393.0,243607.0
"01000","Alabama",2191.0,2427.1,2771.9,2724.3,2972.2,2564.3,3178.0,3680.1,3837.0,3185.2,2307.6,2251.5,2808.8,2447.2,1632.6,1802.2,3018.8,2630.9,3261.2,2835.1,3110.3,3281.3,2618.1
"02000","Alaska",478.0,383.4,413.7,480.6,456.0,411.8,434.3,373.7,417.0,433.6,368.7,415.6,416.6,471.1,543.1,497.5,486.9,456.5,426.3,371.8,361.9,342.2,358.1
"04000","Arizona",1903.6,2185.5,2309.7,2550.8,2338.8,2654.0,2436.3,2863.5,3019.6,2856.5,2616.4,2007.3,1979.3,2160.3,2482.2,1903.9,2287.3,2220.8,2833.8,3552.8,3272.4,3427.4,3788.3
"05000","Arkansas",3463.0,3158.2,3409.1,3409.1,3549.5,3196.1,3980.2,4879.4,4282.6,4254.1,3626.0,3577.5,3408.6,2753.6,2329.4,2573.5,3761.1,3557.0,3509.0,3444.4,3939.0,3951.9,2649.4
"06000","California",23082.3,22536.4,25937.2,28890.3,27112.5,30635.9,31620.2,32810.4,37673.3,37555.7,34372.3,31667.9,37454.9,36879.5,33687.5,34377.2,36815.4,42489.2,45749.7,50398.8,49666.9,49827.1,51797.2
"08000","Colorado",1946.0,2141.8,2406.6,2561.8,2927.4,2627.9,2431.0,2701.0,3253.3,3196.0,3013.7,2678.1,3227.6,3096.4,2889.4,2559.7,2587.1,2878.0,3521.0,3826.8,3166.9,3498.7,4242.4
"09000","Connecticut",388.4,436.1,498.2,640.3,561.5,548.6,515.3,503.5,565.5,567.5,464.5,473.6,552.4,502.8,387.3,409.3,415.0,371.6,463.1,462.6,461.0,458.3,542.3
"10000","Delaware",258.0,321.6,343.4,397.0,460.4,293.8,415.4,524.4,650.0,543.2,416.7,411.3,640.7,520.3,383.0,417.0,565.5,689.6,631.6,656.4,837.6,899.5,739.8
"11000","District of Columbia",0.8,1.0,1.0,1.1,0.9,0.8,0.7,0.8,0.7,0.8,0.3,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.8,1.2,1.1,1.2
