Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Illinois,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Iowa,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Kansas,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Michigan,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Minnesota,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Missouri,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Nebraska,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Ohio,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,South Dakota,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Wisconsin,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,Other States,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2000,U.S.,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Illinois,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Indiana,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Iowa,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Kansas,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Michigan,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Minnesota,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Missouri,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Nebraska,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2001,Ohio,7
