Tweet,Polarity,Subjectivity
1.00,0.00,0.00
2.00,0.00,0.10
3.00,0.33,0.70
4.00,0.10,0.37
5.00,0.00,0.00
6.00,-0.09,0.50
7.00,0.00,0.50
8.00,0.00,0.00
9.00,0.00,0.00
10.00,0.00,0.50
11.00,0.00,0.00
12.00,0.00,0.50
13.00,0.00,0.00
14.00,0.00,0.00
15.00,0.00,0.50
16.00,0.00,0.00
17.00,0.00,0.00
18.00,0.00,0.00
19.00,0.11,0.51
20.00,0.16,0.26
21.00,0.22,0.50
22.00,0.50,0.50
23.00,-0.70,0.20
24.00,0.00,0.00
25.00,0.00,0.00
26.00,0.25,0.70
27.00,0.17,0.46
28.00,0.10,0.76
29.00,0.22,0.59
30.00,0.00,0.00
31.00,0.00,0.00
32.00,0.50,0.50
33.00,0.10,0.63
34.00,0.14,0.45
35.00,0.00,0.00
36.00,-0.04,0.35
37.00,0.43,0.68
38.00,0.15,0.35
39.00,0.00,0.00
40.00,0.00,0.00
41.00,0.00,0.00
42.00,0.40,0.60
43.00,0.00,0.83
44.00,0.23,0.49
45.00,0.16,0.30
46.00,-0.03,0.27
47.00,0.02,0.44
48.00,0.22,0.58
49.00,0.14,0.45
50.00,0.70,0.60
51.00,0.00,0.00
52.00,0.00,0.50
53.00,0.00,0.00
54.00,-0.05,0.40
55.00,-0.07,0.15
56.00,-0.17,0.24
57.00,0.31,0.73
58.00,0.42,0.50
59.00,0.46,0.80
60.00,0.00,0.00
61.00,0.16,0.40
62.00,0.00,0.00
63.00,-0.20,0.00
64.00,-0.13,1.00
65.00,0.04,0.23
66.00,0.50,0.60
67.00,0.10,0.35
68.00,0.11,0.24
69.00,0.07,0.27
70.00,0.00,0.00
71.00,0.00,0.00
72.00,0.00,0.00
73.00,0.25,0.31
74.00,0.00,1.00
75.00,0.50,0.50
76.00,0.00,0.00
77.00,0.15,0.95
78.00,0.25,0.33
79.00,0.25,0.33
80.00,0.25,0.33
81.00,0.25,0.33
82.00,0.06,0.66
83.00,0.00,0.45
84.00,0.25,0.33
85.00,0.25,0.33
86.00,0.25,0.33
87.00,0.25,0.33
88.00,0.25,0.33
89.00,0.25,0.33
90.00,0.11,0.44
91.00,0.00,0.00
92.00,0.20,0.68
93.00,0.15,0.95
94.00,0.00,0.00
95.00,0.00,0.00
96.00,0.15,0.95
97.00,0.37,0.46
98.00,0.00,0.00
99.00,0.54,0.45
100.00,0.00,0.00
101.00,0.50,0.70
102.00,0.00,0.00
103.00,0.50,0.50
104.00,0.00,0.00
105.00,0.00,0.00
106.00,0.00,0.00
107.00,0.15,0.95
108.00,0.15,0.95
109.00,0.15,0.95
110.00,0.24,0.78
111.00,0.05,0.18
112.00,0.46,0.50
113.00,0.14,0.61
114.00,0.00,0.60
115.00,0.30,0.50
116.00,0.00,0.00
