,Year,State_x,Area planted,Area harvested for grain,Yield,Production,GM corn area,Agri GDP,Normalised Agri GDP,All crops planted acreage,Agri exports ,Corn exports,ST,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,JOBS_1000,Population,N_TOT_EMP_1000,Acres operated in agriculture,N_GM_corn_area ,N_agri_exports,N_corn_exports
0,2005,Illinois,12100000,11950000,143,1708850000,4356000,3923000000,145.3,23111000,3694000000,917000000,IL,"Farm, ranch, and other agricultural managers",160.97,24.0,49960.0,26.0,53770.0,,12609903,0.01277,27000000,0.16133,136.81481,33.96296
1,2005,Illinois,12100000,11950000,143,1708850000,4356000,3923000000,145.3,23111000,3694000000,917000000,IL,"Agricultural workers, all other",250.0,13.0,27860.0,12.0,24710.0,,12609903,0.01983,27000000,0.16133,136.81481,33.96296
2,2005,Indiana,5900000,5770000,154,888580000,1534000,3334000000,223.76,12330000,1902000000,384000000,IN,"Farm, ranch, and other agricultural managers",50.0,22.94,47621.54,20.97,43580.95,,6278616,0.00796,14900000,0.10295,127.65101,25.77181
3,2005,Indiana,5900000,5770000,154,888580000,1534000,3334000000,223.76,12330000,1902000000,384000000,IN,"Agricultural workers, all other",160.97,18.0,37360.0,17.0,35310.0,,6278616,0.02564,14900000,0.10295,127.65101,25.77181
4,2005,Iowa,12800000,12500000,173,2162500000,7680000,7813000000,250.42,24680000,4402000000,920000000,IA,"Farm, ranch, and other agricultural managers",240.0,29.0,61200.0,25.0,51460.0,,2964454,0.08096,31200000,0.24615,141.08974,29.48718
5,2005,Iowa,12800000,12500000,173,2162500000,7680000,7813000000,250.42,24680000,4402000000,920000000,IA,"Agricultural workers, all other",310.0,22.94,47621.54,20.97,43580.95,,2964454,0.10457,31200000,0.24615,141.08974,29.48718
6,2005,Kansas,3650000,3450000,135,465750000,2299000,5063000000,107.36,22711000,2205000000,194000000,KS,"Farm, ranch, and other agricultural managers",80.0,27.0,55910.0,29.0,60160.0,,2745299,0.02914,47160000,0.04875,46.75573,4.11366
7,2005,Kansas,3650000,3450000,135,465750000,2299000,5063000000,107.36,22711000,2205000000,194000000,KS,"Agricultural workers, all other",60.0,10.0,20920.0,8.0,17460.0,,2745299,0.02186,47160000,0.04875,46.75573,4.11366
8,2005,Michigan,2250000,2010000,143,287430000,900000,3481000000,344.65,6537000,1148000000,96000000,MI,"Agricultural workers, all other",290.0,12.0,24840.0,10.0,21220.0,,10051137,0.02885,10100000,0.08911,113.66337,9.50495
9,2005,Minnesota,7300000,6850000,174,1191900000,4818000,6597000000,242.54,19379000,2721000000,383000000,MN,"Agricultural workers, all other",330.0,11.0,22500.0,10.0,20940.0,,5119598,0.06446,27200000,0.17713,100.03676,14.08088
